Clock Period (ns),Frequency (MHz),Total Area (um2),Gate Count (Kgates),Total Power (uW),Slack (ns),Leakage (uW),Dynamic (mW),Efficiency uW/MHz
10.0,100.0,55299.0,69.124,52530.2,-6.63,1282.1,51.2578,525.302
15.0,66.6667,55299.0,69.124,52530.2,-1.63,1282.1,51.2578,787.953
20.0,50.0,55299.0,69.124,52530.2,3.37,1282.1,51.2577,1050.604
30.0,33.3333,55299.0,69.124,52530.2,13.37,1282.1,51.2577,1575.906
35.0,28.5714,55299.0,69.124,52530.2,18.37,1282.1,51.2577,1838.557
40.0,25.0,55299.0,69.124,52530.2,23.37,1282.1,51.2577,2101.208
45.0,22.2222,55299.0,69.124,52530.2,28.37,1282.1,51.2577,2363.859
50.0,20.0,55299.0,69.124,52530.2,33.37,1282.1,51.2577,2626.51
55.0,18.1818,55299.0,69.124,52530.2,38.37,1282.1,51.2577,2889.161
60.0,16.6667,55299.0,69.124,52530.2,43.37,1282.1,51.2577,3151.812
